id,urun,magaza,tarih,saat,durum,guven,dosya
mandalina1_153009_085_0.68,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\mandalina1_153009_085_0.68.jpg
muz_153051_130_0.56,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_130_0.56.jpg
muz_153051_134_0.53,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_134_0.53.jpg
muz_153051_137_0.52,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_137_0.52.jpg
muz_153051_146_0.51,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_146_0.51.jpg
muz_153051_156_0.48,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_156_0.48.jpg
muz_153051_180_0.41,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_180_0.41.jpg
muz_153051_196_0.37,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_196_0.37.jpg
muz_153051_220_0.32,Ananas,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Ananas\muz_153051_220_0.32.jpg
karpuz_152927_001_0.89,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_001_0.89.jpg
karpuz_152927_013_0.87,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_013_0.87.jpg
karpuz_152927_064_0.84,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_064_0.84.jpg
karpuz_152927_157_0.80,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,çürük,0.92,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_157_0.80.jpg
karpuz_152927_174_0.79,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_174_0.79.jpg
karpuz_152927_175_0.79,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_175_0.79.jpg
karpuz_152927_186_0.78,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_186_0.78.jpg
karpuz_152927_196_0.78,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_196_0.78.jpg
karpuz_152927_232_0.75,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_232_0.75.jpg
karpuz_152927_234_0.75,Armut,Genel Müdürlük CarrefourSA,2025-10-24,15:00:00,sağlıklı,,crops\camera_001\2025-10-24\15\Armut\karpuz_152927_234_0.75.jpg
