id,urun,magaza,tarih,saat,durum,guven,dosya
muz_164710_184_0.58,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_184_0.58.jpg
muz_164710_189_0.57,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_189_0.57.jpg
muz_164710_192_0.57,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_192_0.57.jpg
muz_164710_194_0.56,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_194_0.56.jpg
muz_164710_205_0.54,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_205_0.54.jpg
muz_164710_224_0.50,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_224_0.50.jpg
muz_164710_227_0.50,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_227_0.50.jpg
muz_164710_257_0.43,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_257_0.43.jpg
muz_164710_270_0.40,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_270_0.40.jpg
muz_164710_282_0.37,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Avokado\muz_164710_282_0.37.jpg
muz_164710_290_0.35,Avokado,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,çürük,0.92,crops\camera_001\2025-10-22\16\Avokado\muz_164710_290_0.35.jpg
biber_164753_000_0.93,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Dolmalik Biber\biber_164753_000_0.93.jpg
biber_164753_002_0.92,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Dolmalik Biber\biber_164753_002_0.92.jpg
biber_164753_003_0.92,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-22,16:00:00,sağlıklı,,crops\camera_001\2025-10-22\16\Dolmalik Biber\biber_164753_003_0.92.jpg
