id,urun,magaza,tarih,saat,durum,guven,dosya
biber_122822_008_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_008_0.91.jpg
biber_122822_009_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_009_0.91.jpg
biber_122822_010_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_010_0.91.jpg
biber_122822_011_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_011_0.91.jpg
biber_122822_012_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_012_0.91.jpg
biber_122822_013_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_013_0.91.jpg
biber_122822_014_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_014_0.91.jpg
biber_122822_015_0.91,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_015_0.91.jpg
biber_122822_016_0.90,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_016_0.90.jpg
biber_122822_017_0.90,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_017_0.90.jpg
biber_122822_018_0.90,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_018_0.90.jpg
biber_122822_019_0.90,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_019_0.90.jpg
biber_122822_020_0.90,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_020_0.90.jpg
biber_122822_021_0.89,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_021_0.89.jpg
biber_122822_022_0.89,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_022_0.89.jpg
biber_122822_023_0.89,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_023_0.89.jpg
biber_122822_024_0.89,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_024_0.89.jpg
biber_122822_027_0.88,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_027_0.88.jpg
biber_122822_029_0.88,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_029_0.88.jpg
biber_122822_030_0.88,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_030_0.88.jpg
biber_122822_032_0.88,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_032_0.88.jpg
biber_122822_033_0.88,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_033_0.88.jpg
biber_122822_037_0.87,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_037_0.87.jpg
biber_122822_040_0.86,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_040_0.86.jpg
biber_122822_041_0.86,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_041_0.86.jpg
biber_122822_042_0.86,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_042_0.86.jpg
biber_122822_043_0.86,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_043_0.86.jpg
biber_122822_044_0.86,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_044_0.86.jpg
biber_122822_049_0.85,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_049_0.85.jpg
biber_122822_050_0.85,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_050_0.85.jpg
biber_122822_051_0.85,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_051_0.85.jpg
biber_122822_052_0.85,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_052_0.85.jpg
biber_122822_053_0.85,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_053_0.85.jpg
biber_122822_054_0.85,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_054_0.85.jpg
biber_122822_055_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_055_0.84.jpg
biber_122822_056_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_056_0.84.jpg
biber_122822_058_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_058_0.84.jpg
biber_122822_059_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_059_0.84.jpg
biber_122822_060_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_060_0.84.jpg
biber_122822_061_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_061_0.84.jpg
biber_122822_063_0.84,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_063_0.84.jpg
biber_122822_066_0.83,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_066_0.83.jpg
biber_122822_068_0.83,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_068_0.83.jpg
biber_122822_069_0.83,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_069_0.83.jpg
biber_122822_070_0.83,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_070_0.83.jpg
biber_122822_071_0.82,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_071_0.82.jpg
biber_122822_073_0.82,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_073_0.82.jpg
biber_122822_074_0.82,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,çürük,0.89,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_074_0.82.jpg
biber_122822_076_0.82,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_076_0.82.jpg
biber_122822_078_0.82,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_078_0.82.jpg
biber_122822_081_0.81,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_081_0.81.jpg
biber_122822_083_0.79,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_083_0.79.jpg
biber_122822_084_0.79,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_084_0.79.jpg
biber_122822_086_0.78,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_086_0.78.jpg
biber_122822_087_0.78,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_087_0.78.jpg
biber_122822_088_0.78,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_088_0.78.jpg
biber_122822_089_0.78,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_089_0.78.jpg
biber_122822_092_0.77,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_092_0.77.jpg
biber_122822_094_0.76,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_094_0.76.jpg
biber_122822_096_0.76,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_096_0.76.jpg
biber_122822_097_0.76,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_097_0.76.jpg
biber_122822_105_0.74,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_105_0.74.jpg
biber_122822_108_0.72,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_108_0.72.jpg
biber_122822_109_0.72,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_109_0.72.jpg
biber_122822_110_0.72,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_110_0.72.jpg
biber_122822_113_0.71,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_113_0.71.jpg
biber_122822_117_0.70,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_117_0.70.jpg
biber_122822_118_0.70,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_118_0.70.jpg
biber_122822_119_0.69,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_119_0.69.jpg
biber_122822_122_0.69,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_122_0.69.jpg
biber_122822_123_0.69,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_123_0.69.jpg
biber_122822_125_0.68,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_125_0.68.jpg
biber_122822_128_0.67,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_128_0.67.jpg
biber_122822_130_0.67,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_130_0.67.jpg
biber_122822_132_0.66,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_132_0.66.jpg
biber_122822_134_0.65,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_134_0.65.jpg
biber_122822_140_0.62,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_140_0.62.jpg
biber_122822_144_0.59,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_144_0.59.jpg
biber_122822_151_0.57,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_151_0.57.jpg
biber_122822_157_0.52,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_157_0.52.jpg
biber_122822_158_0.52,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_158_0.52.jpg
biber_122822_162_0.51,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_162_0.51.jpg
biber_122822_164_0.50,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_164_0.50.jpg
biber_122822_166_0.49,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_166_0.49.jpg
biber_122822_167_0.48,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_167_0.48.jpg
biber_122822_168_0.47,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_168_0.47.jpg
biber_122822_171_0.46,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_171_0.46.jpg
biber_122822_176_0.43,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_176_0.43.jpg
biber_122822_181_0.42,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_181_0.42.jpg
biber_122822_184_0.38,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_184_0.38.jpg
biber_122822_185_0.37,Dolmalik Biber,Genel Müdürlük CarrefourSA,2025-10-24,12:00:00,sağlıklı,,crops\camera_001\2025-10-24\12\Dolmalik Biber\biber_122822_185_0.37.jpg
