id,urun,magaza,tarih,saat,durum,guven,dosya
konum19_165508_010_0.70,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum19_165508_010_0.70.jpg
konum19_165508_024_0.49,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum19_165508_024_0.49.jpg
konum19_165508_031_0.44,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum19_165508_031_0.44.jpg
konum19_165508_038_0.37,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum19_165508_038_0.37.jpg
konum19_165508_039_0.36,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum19_165508_039_0.36.jpg
konum19_165508_047_0.29,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum19_165508_047_0.29.jpg
konum20_165528_011_0.36,Carliston Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Carliston Biber\konum20_165528_011_0.36.jpg
konum16_165405_071_0.58,Dolmalik Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Dolmalik Biber\konum16_165405_071_0.58.jpg
konum17_165426_074_0.43,Dolmalik Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,çürük,0.92,crops\camera_002\2025-10-22\16\Dolmalik Biber\konum17_165426_074_0.43.jpg
konum20_165528_016_0.26,Dolmalik Biber,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Dolmalik Biber\konum20_165528_016_0.26.jpg
konum10_165201_004_0.90,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_004_0.90.jpg
konum10_165201_010_0.89,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_010_0.89.jpg
konum10_165201_012_0.88,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_012_0.88.jpg
konum10_165201_013_0.88,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_013_0.88.jpg
konum10_165201_015_0.88,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_015_0.88.jpg
konum10_165201_016_0.88,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_016_0.88.jpg
konum10_165201_019_0.87,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_019_0.87.jpg
konum10_165201_022_0.87,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_022_0.87.jpg
konum10_165201_024_0.86,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_024_0.86.jpg
konum10_165201_025_0.86,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_025_0.86.jpg
konum10_165201_027_0.86,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_027_0.86.jpg
konum10_165201_029_0.86,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_029_0.86.jpg
konum10_165201_030_0.86,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_030_0.86.jpg
konum10_165201_032_0.86,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_032_0.86.jpg
konum10_165201_035_0.85,Domates,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\Domates\konum10_165201_035_0.85.jpg
konum18_165447_074_0.52,kirmizilahana,Carrefoursa Maltepe,2025-10-22,16:00:00,sağlıklı,,crops\camera_002\2025-10-22\16\kirmizilahana\konum18_165447_074_0.52.jpg
