id,urun,magaza,tarih,saat,durum,guven,dosya
konum9_123114_044_0.36,Elma,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Elma\konum9_123114_044_0.36.jpg
konum9_123114_051_0.26,Elma,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Elma\konum9_123114_051_0.26.jpg
konum19_123351_013_0.41,gobek marul,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\gobek marul\konum19_123351_013_0.41.jpg
konum19_123351_016_0.30,gobek marul,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\gobek marul\konum19_123351_016_0.30.jpg
konum8_123058_001_0.83,gobek marul,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\gobek marul\konum8_123058_001_0.83.jpg
konum8_123058_022_0.49,gobek marul,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\gobek marul\konum8_123058_022_0.49.jpg
konum8_123058_038_0.26,gobek marul,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\gobek marul\konum8_123058_038_0.26.jpg
konum15_123248_007_0.84,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_007_0.84.jpg
konum15_123248_015_0.75,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.92,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_015_0.75.jpg
konum15_123248_019_0.74,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_019_0.74.jpg
konum15_123248_022_0.68,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_022_0.68.jpg
konum15_123248_024_0.68,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_024_0.68.jpg
konum15_123248_026_0.68,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.92,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_026_0.68.jpg
konum15_123248_030_0.66,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_030_0.66.jpg
konum15_123248_033_0.65,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_033_0.65.jpg
konum15_123248_034_0.65,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_034_0.65.jpg
konum15_123248_035_0.64,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_035_0.64.jpg
konum15_123248_037_0.63,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_037_0.63.jpg
konum15_123248_038_0.62,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_038_0.62.jpg
konum15_123248_040_0.60,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_040_0.60.jpg
konum15_123248_041_0.60,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_041_0.60.jpg
konum15_123248_042_0.60,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_042_0.60.jpg
konum15_123248_043_0.60,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_043_0.60.jpg
konum15_123248_049_0.58,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.91,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_049_0.58.jpg
konum15_123248_050_0.58,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,çürük,0.9,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_050_0.58.jpg
konum15_123248_055_0.56,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_055_0.56.jpg
konum15_123248_060_0.54,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_060_0.54.jpg
konum15_123248_061_0.52,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_061_0.52.jpg
konum15_123248_063_0.51,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_063_0.51.jpg
konum15_123248_064_0.49,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_064_0.49.jpg
konum15_123248_069_0.48,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_069_0.48.jpg
konum15_123248_070_0.48,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_070_0.48.jpg
konum15_123248_076_0.44,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_076_0.44.jpg
konum15_123248_077_0.44,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_077_0.44.jpg
konum15_123248_083_0.41,Hindistan Cevizi,Carrefoursa Maltepe,2025-10-24,12:00:00,sağlıklı,,crops\camera_002\2025-10-24\12\Hindistan Cevizi\konum15_123248_083_0.41.jpg
